"Individual_ID","Group_Name","Country","Longitude","Latitude","Makro_Region"
"HGDP00001","Brahui","Pakistan",66.5,30.49871,"South Asia"
"HGDP00052","Balochi","Pakistan",66.5,30.49871,"South Asia"
"HGDP00099","Hazara","Pakistan",70,33.49856,"South Asia"
"HGDP00131","Makrani","Pakistan",64,26,"South Asia"
"HGDP00167","Sindhi_Pakistan","Pakistan",69,25.49064,"South Asia"
"HGDP00213","Pathan","Pakistan",70.5,33.48701,"South Asia"
"HGDP00277","Kalash","Pakistan",71.5,35.99366,"South Asia"
"HGDP00336","Burusho","Pakistan",74,36.49839,"South Asia"
"HGDP00449","Mbuti","Congo",29,1,"Africa"
"HGDP00454","Biaka","Central African Republic",17,4,"Africa"
"HGDP00511","French","France",2,46,"Europe"
"HGDP00540","Papuan","Papua New Guinea",143,-4,"East Asia"
"HGDP00557","Druze","Israel",35,32,"Near East"
"HGDP00607","BedouinB","Israel",35,31,"Near East"
"HGDP00609","BedouinA","Israel",35,31,"Near East"
"HGDP00655","Nasioi","Papua New Guinea",155.83,-6.48,"East Asia"
"HGDP00666","Sardinian","Italy",9,40,"Europe"
"HGDP00675","Palestinian","Israel",35,32,"Near East"
"HGDP00702","Piapoco","Colombia",-68,3,"Americas"
"HGDP00713","Cambodian","Cambodia",105,12,"East Asia"
"HGDP00747","Japanese","Japan",138,38,"East Asia"
"HGDP00774","Han","China",114,32.26567,"East Asia"
"HGDP00794","Orcadian","Great Britain",-3,59,"Europe"
"HGDP00832","Surui","Brazil",-62,-11,"Americas"
"HGDP00854","Mayan","Mexico",-91,19,"Americas"
"HGDP00879","Russian","Russia",40,61,"Russia"
"HGDP00904","Mandenka","Senegal",-12,12,"Africa"
"HGDP00920","Yoruba","Nigeria",3.9,7.4,"Africa"
"HGDP00945","Yakut","Russia",129.5,62.98288,"Russia"
"HGDP00987","Ju_hoan_North","Namibia",21.45245,-18.93726,"Africa"
"HGDP00993","BantuSA","South Africa",30,-29,"Africa"
"HGDP00995","Karitiana","Brazil",-63,-10,"Americas"
"HGDP01028","Namibia_Bantu_Herero","Namibia",19,-22,"Africa"
"HGDP01031","BantuSA_Ovambo","Angola",18,-19,"Africa"
"HGDP01037","Pima","Mexico",-108,29,"Americas"
"HGDP01095","Tujia","China",109,29,"East Asia"
"HGDP01147","Italian_North","Italy",10,46,"Europe"
"HGDP01179","Yi","China",103,28,"East Asia"
"HGDP01189","Miao","China",109,28,"East Asia"
"HGDP01203","Oroqen","China",126.5,50.43389,"East Asia"
"HGDP01213","Daur","China",124,48.49753,"East Asia"
"HGDP01223","Mongola","China",111,45,"East Asia"
"HGDP01233","Hezhen","China",133.5,47.49762,"East Asia"
"HGDP01244","Xibo","China",81.5,43.49793,"East Asia"
"HGDP01253","Mozabite","Algeria",3,32,"Africa"
"HGDP01297","Uyghur","China",81,44,"East Asia"
"HGDP01307","Dai","China",100,21,"East Asia"
"HGDP01317","China_Lahu","China",100,22,"East Asia"
"HGDP01327","She","China",119,27,"East Asia"
"HGDP01337","Naxi","China",100,26,"East Asia"
"HGDP01347","Tu","China",101,36,"East Asia"
"HGDP01357","Basque","France",0,43,"Europe"
"HGDP01381","Adygei","Russia",39,44,"Russia"
"HGDP01405","BantuKenya","Kenya",37,-3,"Africa"
